clean_title,type.x,genres.x,average_rating,release_year.x,type.y,release_year.y,genres.y,weekly_hours_viewed
annie hall,Movie,"Comedy, Romance",8,1977,NA,NA,NA,NA
dog day afternoon,Movie,"Biography, Crime, Drama",8,1975,NA,NA,NA,NA
amores perros,Movie,"Drama, Thriller",8,2000,NA,NA,NA,1450000
lion,Movie,"Biography, Drama",8,2016,NA,NA,NA,NA
rosemarys baby,Movie,"Drama, Horror",8,1968,Movie,1968,"Classic Movies, Horror Movies, Thrillers",NA
gandhi,Movie,"Biography, Drama, History",8,1982,NA,NA,NA,NA
ip man,Movie,"Action, Biography, Drama",8,2008,Movie,2008,"Action & Adventure, Dramas, International Movies",NA
reacher,TV Show,"Action, Crime, Drama",8,2022,NA,NA,NA,NA
butch cassidy and the sundance kid,Movie,"Biography, Crime, Drama",8,1969,NA,NA,NA,NA
the end of the f***ing world,TV Show,"Adventure, Comedy, Crime",8,2017,TV Show,2019,"British TV Shows, International TV Shows, TV Comedies",NA
the white lotus,TV Show,"Comedy, Drama",8,2021,NA,NA,NA,NA
akira,Movie,"Animation, Drama, Fantasy",8,1988,NA,NA,NA,NA
planet of the apes,Movie,"Adventure, Sci-Fi",8,1968,NA,NA,NA,NA
cinderella man,Movie,"Biography, Drama, Romance",8,2005,NA,NA,NA,NA
the invisible guest,Movie,"Crime, Drama, Mystery",8,2016,Movie,2016,"International Movies, Thrillers",NA
cool hand luke,Movie,"Crime, Drama",8,1967,Movie,1967,"Classic Movies, Dramas",NA
castle in the sky,Movie,"Adventure, Animation, Family",8,1986,NA,NA,NA,NA
nausicaä of the valley of the wind,Movie,"Adventure, Animation, Sci-Fi",8,1984,NA,NA,NA,NA
tom clancys jack ryan,TV Show,"Action, Drama, Thriller",8,2018,NA,NA,NA,NA
jfk,Movie,"Drama, History, Thriller",8,1991,NA,NA,NA,NA
young frankenstein,Movie,Comedy,8,1974,NA,NA,NA,NA
coda,Movie,"Comedy, Drama, Music",8,2021,NA,NA,NA,NA
dogville,Movie,"Crime, Drama",8,2003,NA,NA,NA,NA
bodyguard,TV Show,"Crime, Drama, Thriller",8,2018,Movie,2011,"Action & Adventure, Comedies, International Movies",NA
roman holiday,Movie,"Comedy, Drama, Romance",8,1953,NA,NA,NA,NA
bowling for columbine,Movie,"Crime, Documentary, Drama",8,2002,NA,NA,NA,NA
stalker,Movie,"Drama, Sci-Fi",8,1979,NA,NA,NA,NA
the gentlemen,TV Show,"Action, Comedy, Crime",8,2024,NA,NA,NA,8610000
beef,TV Show,"Comedy, Drama",8,2023,NA,NA,NA,14790000
beef,TV Show,"Comedy, Drama",8,2023,NA,NA,NA,24480000
beef,TV Show,"Comedy, Drama",8,2023,NA,NA,NA,42810000
beef,TV Show,"Comedy, Drama",8,2023,NA,NA,NA,70380000
beef,TV Show,"Comedy, Drama",8,2023,NA,NA,NA,34080000
baahubali the beginning,Movie,"Action, Drama",8,2015,NA,NA,NA,NA
papillon,Movie,"Biography, Crime, Drama",8,1973,NA,NA,NA,NA
persona,Movie,"Drama, Thriller",8,1966,TV Show,2019,"International TV Shows, Korean TV Shows, TV Dramas",NA
infernal affairs,Movie,"Crime, Drama, Mystery",8,2002,NA,NA,NA,NA
lie to me,TV Show,"Crime, Drama, Mystery",8,2009,NA,NA,NA,NA
the 400 blows,Movie,"Crime, Drama",8,1959,NA,NA,NA,NA
8½,Movie,Drama,8,1963,NA,NA,NA,NA
sharp objects,TV Show,"Crime, Drama, Mystery",8,2018,NA,NA,NA,NA
the good doctor,TV Show,Drama,8,2017,NA,NA,NA,10430000
the good doctor,TV Show,Drama,8,2017,NA,NA,NA,11810000
the good doctor,TV Show,Drama,8,2017,NA,NA,NA,14090000
the good doctor,TV Show,Drama,8,2017,NA,NA,NA,18510000
the good doctor,TV Show,Drama,8,2017,NA,NA,NA,13240000
the good doctor,TV Show,Drama,8,2017,NA,NA,NA,25520000
the good doctor,TV Show,Drama,8,2017,NA,NA,NA,18980000
good omens,TV Show,"Comedy, Drama, Fantasy",8,2019,NA,NA,NA,NA
elite squad,Movie,"Action, Crime, Drama",8,2007,NA,NA,NA,2360000
touch of evil,Movie,"Crime, Drama, Film-Noir",8,1958,NA,NA,NA,NA
the diving bell and the butterfly,Movie,"Biography, Drama",8,2007,NA,NA,NA,NA
dexter new blood,TV Show,"Crime, Drama, Mystery",8,2021,NA,NA,NA,NA
the night manager,TV Show,"Crime, Drama, Mystery",8,2016,NA,NA,NA,NA
the orville,TV Show,"Adventure, Comedy, Drama",8,2017,NA,NA,NA,NA
perfect blue,Movie,"Animation, Crime, Drama",8,1997,NA,NA,NA,NA
persepolis,Movie,"Animation, Biography, Drama",8,2007,NA,NA,NA,NA
the night of the hunter,Movie,"Crime, Drama, Film-Noir",8,1955,NA,NA,NA,NA
sling blade,Movie,Drama,8,1996,Movie,1996,"Dramas, Independent Movies",NA
chungking express,Movie,"Comedy, Crime, Drama",8,1994,NA,NA,NA,NA
the straight story,Movie,"Biography, Drama",8,1999,NA,NA,NA,NA
the celebration,Movie,Drama,8,1998,NA,NA,NA,NA
unorthodox,TV Show,Drama,8,2020,TV Show,2020,"International TV Shows, TV Dramas",NA
farha,Movie,Drama,8,2021,NA,NA,NA,NA
tulsa king,TV Show,"Crime, Drama",8,2022,NA,NA,NA,NA
elite squad 2 the enemy within,Movie,"Crime, Drama, Thriller",8,2010,NA,NA,NA,NA
"spring, summer, fall, winter... and spring",Movie,"Drama, Romance",8,2003,NA,NA,NA,NA
pink floyd the wall,Movie,"Drama, Fantasy, Music",8,1982,NA,NA,NA,NA
the sea inside,Movie,"Biography, Drama",8,2004,NA,NA,NA,NA
the rookie,TV Show,"Action, Crime, Drama",8,2018,NA,NA,NA,NA
shrinking,TV Show,"Comedy, Drama",8,2023,NA,NA,NA,NA
whos afraid of virginia woolf?,Movie,Drama,8,1966,NA,NA,NA,NA
marco polo,TV Show,"Action, Adventure, Drama",8,2014,TV Show,2016,"TV Action & Adventure, TV Dramas",NA
la dolce vita,Movie,"Comedy, Drama",8,1960,NA,NA,NA,NA
burn notice,TV Show,"Action, Crime, Drama",8,2007,NA,NA,NA,NA
dilwale dulhania le jayenge,Movie,"Drama, Romance",8,1995,NA,NA,NA,NA
sicko,Movie,"Documentary, Drama",8,2007,NA,NA,NA,NA
paranormal,TV Show,"Drama, Fantasy, Horror",8,2020,TV Show,2020,"International TV Shows, TV Dramas, TV Horror",NA
anatomy of a murder,Movie,"Drama, Mystery",8,1959,NA,NA,NA,NA
the diplomat,TV Show,"Drama, Thriller",8,2023,NA,NA,NA,18370000
the diplomat,TV Show,"Drama, Thriller",8,2023,NA,NA,NA,31150000
the diplomat,TV Show,"Drama, Thriller",8,2023,NA,NA,NA,66460000
the diplomat,TV Show,"Drama, Thriller",8,2023,NA,NA,NA,57480000
the cabinet of dr. caligari,Movie,"Horror, Mystery, Thriller",8,1920,NA,NA,NA,NA
the legend of 1900,Movie,"Drama, Music, Romance",8,1998,NA,NA,NA,NA
m.s. dhoni the untold story,Movie,"Biography, Drama, Sport",8,2016,NA,NA,NA,NA
rio bravo,Movie,Western,8,1959,NA,NA,NA,NA
g.o.r.a.,Movie,"Adventure, Comedy, Sci-Fi",8,2004,NA,NA,NA,NA
la strada,Movie,Drama,8,1954,NA,NA,NA,NA
travelers,TV Show,"Drama, Mystery, Sci-Fi",8,2016,TV Show,2018,"Crime TV Shows, International TV Shows, TV Dramas",NA
chicago fire,TV Show,"Action, Drama",8,2012,NA,NA,NA,NA
wicked,Movie,"Fantasy, Musical, Romance",8,2024,NA,NA,NA,NA
dont f**k with cats hunting an internet killer,TV Show,"Crime, Documentary, Mystery",8,2019,TV Show,2019,"Crime TV Shows, Docuseries",NA
song of the sea,Movie,"Adventure, Animation, Drama",8,2014,NA,NA,NA,NA
cheers,TV Show,"Comedy, Drama",8,1982,TV Show,1992,"Classic & Cult TV, TV Comedies",NA
what ever happened to baby jane?,Movie,"Drama, Horror, Thriller",8,1962,NA,NA,NA,NA
mommy,Movie,Drama,8,2014,NA,NA,NA,NA
underground,Movie,"Comedy, Drama, Fantasy",8,1995,NA,NA,NA,NA
waltz with bashir,Movie,"Animation, Biography, Documentary",8,2008,NA,NA,NA,NA
le samouraï,Movie,"Crime, Drama, Thriller",8,1967,NA,NA,NA,NA
special 26,Movie,"Crime, Drama, History",8,2013,Movie,2013,"Dramas, International Movies, Thrillers",NA
haider,Movie,"Crime, Drama, Thriller",8,2014,Movie,2014,"Dramas, International Movies, Romantic Movies",NA
citizenfour,Movie,"Biography, Documentary",8,2014,NA,NA,NA,NA
andrei rublev,Movie,"Biography, Drama, History",8,1966,NA,NA,NA,NA
throne of blood,Movie,Drama,8,1957,NA,NA,NA,NA
"black cat, white cat",Movie,"Comedy, Crime, Romance",8,1998,NA,NA,NA,NA
winter sleep,Movie,Drama,8,2014,NA,NA,NA,NA
the tale of the princess kaguya,Movie,"Animation, Drama, Family",8,2013,NA,NA,NA,NA
andaz apna apna,Movie,"Action, Comedy, Romance",8,1994,Movie,1994,"Action & Adventure, Comedies, Cult Movies",NA
departures,Movie,Drama,8,2008,NA,NA,NA,NA
saturday night live,TV Show,"Comedy, Music",8,1975,NA,NA,NA,NA
the last picture show,Movie,"Drama, Romance",8,1971,NA,NA,NA,NA
new amsterdam,TV Show,Drama,8,2018,NA,NA,NA,15410000
new amsterdam,TV Show,Drama,8,2018,NA,NA,NA,10210000
new amsterdam,TV Show,Drama,8,2018,NA,NA,NA,18960000
new amsterdam,TV Show,Drama,8,2018,NA,NA,NA,9370000
new amsterdam,TV Show,Drama,8,2018,NA,NA,NA,7910000
new amsterdam,TV Show,Drama,8,2018,NA,NA,NA,14320000
new amsterdam,TV Show,Drama,8,2018,NA,NA,NA,14640000
new amsterdam,TV Show,Drama,8,2018,NA,NA,NA,18160000
new amsterdam,TV Show,Drama,8,2018,NA,NA,NA,14800000
glow,TV Show,"Comedy, Drama, Sport",8,2017,TV Show,2019,"TV Comedies, TV Dramas",NA
lage raho munna bhai,Movie,"Comedy, Drama, Romance",8,2006,NA,NA,NA,NA
pink,Movie,"Crime, Drama, Thriller",8,2016,Movie,2016,"Dramas, International Movies",NA
fiddler on the roof,Movie,"Drama, Family, Musical",8,1971,Movie,1971,"Classic Movies, Dramas, Music & Musicals",NA
secrets & lies,Movie,"Comedy, Drama",8,1996,NA,NA,NA,NA
1 nenokkadine,Movie,"Action, Thriller",8,2014,NA,NA,NA,NA
brief encounter,Movie,"Drama, Romance",8,1945,NA,NA,NA,NA
central station,Movie,Drama,8,1998,NA,NA,NA,NA
gangs of london,TV Show,"Action, Crime, Drama",8,2020,NA,NA,NA,NA
the hidden fortress,Movie,"Adventure, Drama",8,1958,NA,NA,NA,NA
f is for family,TV Show,"Animation, Comedy, Drama",8,2015,TV Show,2020,TV Comedies,NA
sanjuro,Movie,"Action, Drama, Thriller",8,1962,NA,NA,NA,NA
the goldbergs,TV Show,Comedy,8,2013,NA,NA,NA,NA
out of the past,Movie,"Crime, Drama, Film-Noir",8,1947,NA,NA,NA,NA
blackadder,TV Show,Comedy,8,1982,NA,NA,NA,NA
sneaky pete,TV Show,"Comedy, Crime, Drama",8,2015,NA,NA,NA,NA
going clear scientology & the prison of belief,Movie,Documentary,8,2015,NA,NA,NA,NA
tae guk gi the brotherhood of war,Movie,"Action, Drama, War",8,2004,NA,NA,NA,NA
ivans childhood,Movie,"Drama, War",8,1962,NA,NA,NA,NA
wolfwalkers,Movie,"Action, Adventure, Animation",8,2020,NA,NA,NA,NA
the gilded age,TV Show,Drama,8,2022,NA,NA,NA,NA
kind hearts and coronets,Movie,"Comedy, Crime",8,1949,NA,NA,NA,NA
the shop around the corner,Movie,"Comedy, Drama, Romance",8,1940,NA,NA,NA,NA
fitzcarraldo,Movie,"Adventure, Drama",8,1982,NA,NA,NA,NA
"quo vadis, aida?",Movie,"Drama, History, War",8,2020,NA,NA,NA,NA
vizontele,Movie,"Comedy, Drama, History",8,2001,Movie,2001,"Comedies, Dramas, International Movies",NA
touching the void,Movie,"Adventure, Documentary, Drama",8,2003,NA,NA,NA,NA
rise of empires ottoman,TV Show,"Documentary, Drama, History",8,2020,TV Show,2020,Docuseries,NA
the king of kong a fistful of quarters,Movie,"Biography, Documentary, Sport",8,2007,NA,NA,NA,NA
sweet smell of success,Movie,"Drama, Film-Noir",8,1957,NA,NA,NA,NA
au revoir les enfants,Movie,"Drama, War",8,1987,NA,NA,NA,NA
the mechanism,TV Show,"Crime, Drama, Thriller",8,2018,TV Show,2019,"Crime TV Shows, International TV Shows, TV Dramas",NA
the exterminating angel,Movie,"Drama, Fantasy",8,1962,NA,NA,NA,NA
the breath,Movie,"Action, Drama, Thriller",8,2009,NA,NA,NA,NA
ducktales,TV Show,"Action, Adventure, Animation",8,1987,NA,NA,NA,NA
queen of the south,TV Show,"Action, Crime, Drama",8,2016,TV Show,2018,"Crime TV Shows, TV Action & Adventure, TV Dramas",13100000
queen of the south,TV Show,"Action, Crime, Drama",8,2016,TV Show,2018,"Crime TV Shows, TV Action & Adventure, TV Dramas",11460000
the pillars of the earth,TV Show,"Drama, Romance, Thriller",8,2010,NA,NA,NA,NA
patrick melrose,TV Show,Drama,8,2018,NA,NA,NA,NA
vice principals,TV Show,Comedy,8,2016,NA,NA,NA,NA
nobody knows,Movie,Drama,8,2004,NA,NA,NA,NA
the virgin spring,Movie,Drama,8,1960,NA,NA,NA,NA
counterpart,TV Show,"Drama, Sci-Fi, Thriller",8,2017,NA,NA,NA,NA
"rome, open city",Movie,"Drama, Thriller, War",8,1945,NA,NA,NA,NA
a woman under the influence,Movie,"Drama, Romance",8,1974,NA,NA,NA,NA
the blue elephant,Movie,"Crime, Drama, Horror",8,2014,NA,NA,NA,NA
sirf ek bandaa kaafi hai,Movie,"Crime, Drama, Thriller",8,2023,NA,NA,NA,NA
the wild pear tree,Movie,Drama,8,2018,NA,NA,NA,NA
jodorowskys dune,Movie,Documentary,8,2013,NA,NA,NA,NA
river,TV Show,"Crime, Drama, Mystery",8,2015,NA,NA,NA,NA
tales from the crypt,TV Show,"Comedy, Crime, Fantasy",8,1989,NA,NA,NA,NA
winter light,Movie,Drama,8,1963,NA,NA,NA,NA
a matter of life and death,Movie,"Drama, Fantasy, Romance",8,1946,NA,NA,NA,NA
the keepers,TV Show,"Crime, Documentary, Mystery",8,2017,TV Show,2017,"Crime TV Shows, Docuseries, TV Mysteries",NA
united states of tara,TV Show,"Comedy, Drama, Romance",8,2009,NA,NA,NA,NA
trapped,TV Show,"Crime, Drama, Mystery",8,2015,NA,NA,NA,NA
the ox-bow incident,Movie,"Drama, Western",8,1942,NA,NA,NA,NA
fail safe,Movie,"Drama, Thriller",8,1964,NA,NA,NA,NA
day for night,Movie,"Comedy, Drama, Romance",8,1973,NA,NA,NA,NA
ali fear eats the soul,Movie,"Drama, Romance",8,1974,NA,NA,NA,NA
manon of the spring,Movie,Drama,8,1986,NA,NA,NA,NA
the capture,TV Show,"Crime, Mystery, Thriller",8,2019,NA,NA,NA,NA
the transformers,TV Show,"Action, Adventure, Animation",8,1984,NA,NA,NA,NA
karnan,Movie,"Action, Drama",8,2021,NA,NA,NA,NA
reno 911!,TV Show,"Comedy, Crime",8,2003,NA,NA,NA,NA
taylor swift the eras tour,Movie,"Documentary, Music, Musical",8,2023,NA,NA,NA,NA
silenced,Movie,"Crime, Drama, Thriller",8,2011,NA,NA,NA,NA
lovesick,TV Show,Comedy,8,2014,TV Show,2018,"British TV Shows, International TV Shows, Romantic TV Shows",NA
a short film about killing,Movie,"Crime, Drama",8,1988,NA,NA,NA,NA
"love, victor",TV Show,"Comedy, Drama, Romance",8,2020,NA,NA,NA,NA
arnold,TV Show,"Biography, Documentary",8,2023,NA,NA,NA,7800000
arnold,TV Show,"Biography, Documentary",8,2023,NA,NA,NA,16400000
arnold,TV Show,"Biography, Documentary",8,2023,NA,NA,NA,24510000
assasination classroom,TV Show,"Action, Animation, Comedy",8,2013,NA,NA,NA,NA
limelight,Movie,"Drama, Music, Romance",8,1952,NA,NA,NA,NA
i think you should leave with tim robinson,TV Show,Comedy,8,2019,TV Show,2021,TV Comedies,NA
omkara,Movie,"Action, Crime, Drama",8,2006,NA,NA,NA,NA
the addams family,TV Show,"Comedy, Family, Horror",8,1964,NA,NA,NA,NA
crumb,Movie,"Biography, Comedy, Documentary",8,1994,NA,NA,NA,NA
the corporation,Movie,"Documentary, History",8,2003,NA,NA,NA,NA
maidaan,Movie,"Biography, Drama, History",8,2024,NA,NA,NA,NA
the returned,TV Show,"Drama, Fantasy, Horror",8,2012,TV Show,2015,"International TV Shows, TV Dramas, TV Horror",NA
turtles can fly,Movie,"Drama, War",8,2004,NA,NA,NA,NA
whats wrong with secretary kim,TV Show,"Comedy, Mystery, Romance",8,2018,NA,NA,NA,NA
kidding,TV Show,"Comedy, Drama",8,2018,NA,NA,NA,NA
manjhi the mountain man,Movie,"Biography, Drama",8,2015,NA,NA,NA,NA
castaway on the moon,Movie,"Comedy, Drama, Romance",8,2009,NA,NA,NA,NA
honeyland,Movie,"Documentary, Drama",8,2019,NA,NA,NA,NA
shameless,TV Show,"Comedy, Crime, Drama",8,2004,NA,NA,NA,NA
gargoyles,TV Show,"Action, Adventure, Animation",8,1994,NA,NA,NA,NA
da ali g show,TV Show,Comedy,8,2000,NA,NA,NA,NA
rascal does not dream of bunny girl senpai,TV Show,"Animation, Drama, Fantasy",8,2018,TV Show,2018,"Anime Series, International TV Shows, Romantic TV Shows",NA
the internets own boy the story of aaron swartz,Movie,"Biography, Crime, Documentary",8,2014,NA,NA,NA,NA
the looming tower,TV Show,"Drama, History",8,2018,NA,NA,NA,NA
newsradio,TV Show,"Comedy, Romance",8,1995,NA,NA,NA,NA
life in pieces,TV Show,Comedy,8,2015,NA,NA,NA,NA
true beauty,TV Show,"Comedy, Drama, Romance",8,2020,NA,NA,NA,63500000
true beauty,TV Show,"Comedy, Drama, Romance",8,2020,NA,NA,NA,14940000
true beauty,TV Show,"Comedy, Drama, Romance",8,2020,NA,NA,NA,16510000
horimiya,TV Show,"Animation, Comedy, Drama",8,2021,NA,NA,NA,NA
the life and death of colonel blimp,Movie,"Drama, Romance, War",8,1943,NA,NA,NA,NA
the fool,Movie,"Crime, Drama, Thriller",8,2014,NA,NA,NA,NA
ramy,TV Show,"Comedy, Drama, Romance",8,2019,NA,NA,NA,NA
my dress-up darling,TV Show,"Animation, Comedy, Romance",8,2022,NA,NA,NA,NA
werckmeister harmonies,Movie,"Drama, Mystery",8,2000,NA,NA,NA,NA
love exposure,Movie,"Action, Comedy, Drama",8,2008,NA,NA,NA,NA
company,Movie,"Action, Crime, Drama",8,2002,Movie,2002,"Action & Adventure, Dramas, International Movies",NA
kin,TV Show,"Crime, Drama",8,2021,NA,NA,NA,NA
gulaal,Movie,"Crime, Drama, Thriller",8,2009,NA,NA,NA,NA
start-up,TV Show,"Comedy, Drama, Romance",8,2020,TV Show,2020,"International TV Shows, Romantic TV Shows, TV Comedies",NA
pokiri,Movie,"Action, Crime, Thriller",8,2006,NA,NA,NA,NA
love today,Movie,"Comedy, Drama, Romance",8,2022,NA,NA,NA,NA
the vicar of dibley,TV Show,Comedy,8,1994,NA,NA,NA,NA
claymore,TV Show,"Action, Adventure, Animation",8,2007,NA,NA,NA,NA
the last laugh,Movie,"Drama, Horror",8,1924,Movie,2019,"Comedies, Dramas",NA
shame,Movie,Drama,8,1968,NA,NA,NA,NA
deutschland 83,TV Show,"Drama, Romance, Thriller",8,2015,NA,NA,NA,NA
evangelion 3.0+1.01 thrice upon a time,Movie,"Action, Animation, Drama",8,2021,NA,NA,NA,NA
w,TV Show,"Action, Comedy, Drama",8,2016,NA,NA,NA,NA
vaastav the reality,Movie,"Action, Crime, Drama",8,1999,NA,NA,NA,NA
looking for alaska,TV Show,"Drama, Romance",8,2019,NA,NA,NA,NA
paranoia agent,TV Show,"Animation, Drama, Horror",8,2004,NA,NA,NA,NA
yol,Movie,Drama,8,1982,NA,NA,NA,NA
moscow does not believe in tears,Movie,"Comedy, Drama, Romance",8,1980,NA,NA,NA,NA
quarry,TV Show,"Crime, Drama, Thriller",8,2016,NA,NA,NA,NA
the phantom carriage,Movie,"Drama, Fantasy, Horror",8,1921,NA,NA,NA,NA
the bad sleep well,Movie,"Crime, Drama, Thriller",8,1960,NA,NA,NA,NA
malik,Movie,"Action, Biography, Crime",8,2021,NA,NA,NA,NA
"summer of soul (...or, when the revolution could not be televised)",Movie,"Documentary, History, Music",8,2021,NA,NA,NA,NA
jonathan strange & mr norrell,TV Show,"Fantasy, War",8,2015,TV Show,2015,"British TV Shows, TV Dramas, TV Sci-Fi & Fantasy",NA
tomorrow,TV Show,"Action, Comedy, Drama",8,2022,NA,NA,NA,11120000
tomorrow,TV Show,"Action, Comedy, Drama",8,2022,NA,NA,NA,11990000
tomorrow,TV Show,"Action, Comedy, Drama",8,2022,NA,NA,NA,9690000
investigation of a citizen above suspicion,Movie,"Crime, Drama",8,1970,NA,NA,NA,NA
drops of god,TV Show,Drama,8,2023,NA,NA,NA,NA
comedians in cars getting coffee,TV Show,"Comedy, Family, Talk-Show",8,2012,TV Show,2019,"Stand-Up Comedy & Talk Shows, TV Comedies",NA
the artful dodger,TV Show,"Crime, Drama, History",8,2023,NA,NA,NA,NA
code black,TV Show,Drama,8,2015,NA,NA,NA,NA
charlie,Movie,"Adventure, Drama, Romance",8,2015,NA,NA,NA,NA
abhay,TV Show,"Crime, Thriller",8,2019,NA,NA,NA,NA
trying,TV Show,"Comedy, Drama, Romance",8,2020,NA,NA,NA,NA
the cameraman,Movie,"Comedy, Drama, Family",8,1928,NA,NA,NA,NA
forbidden games,Movie,"Drama, War",8,1952,NA,NA,NA,NA
sense & sensibility,TV Show,"Drama, Romance",8,2008,NA,NA,NA,NA
millennium,TV Show,"Crime, Drama, Horror",8,1996,NA,NA,NA,NA
metal a headbangers journey,Movie,"Documentary, Music",8,2005,NA,NA,NA,NA
the uncanny counter,TV Show,"Action, Fantasy, Horror",8,2020,TV Show,2020,"International TV Shows, TV Action & Adventure, TV Dramas",15200000
the uncanny counter,TV Show,"Action, Fantasy, Horror",8,2020,TV Show,2020,"International TV Shows, TV Action & Adventure, TV Dramas",12600000
the uncanny counter,TV Show,"Action, Fantasy, Horror",8,2020,TV Show,2020,"International TV Shows, TV Action & Adventure, TV Dramas",11800000
the uncanny counter,TV Show,"Action, Fantasy, Horror",8,2020,TV Show,2020,"International TV Shows, TV Action & Adventure, TV Dramas",10400000
maqbool,Movie,"Crime, Drama, Thriller",8,2003,NA,NA,NA,NA
wolverine and the x-men,TV Show,"Action, Adventure, Animation",8,2008,NA,NA,NA,NA
braindead,TV Show,"Comedy, Drama, Horror",8,2016,NA,NA,NA,NA
stanley kubrick a life in pictures,Movie,"Biography, Documentary",8,2001,NA,NA,NA,NA
"harvey birdman, attorney at law",TV Show,"Animation, Comedy, Sci-Fi",8,2000,NA,NA,NA,NA
the red pill,Movie,Documentary,8,2016,NA,NA,NA,NA
good behavior,TV Show,"Crime, Drama, Mystery",8,2016,NA,NA,NA,NA
deewaar,Movie,"Action, Crime, Drama",8,1975,NA,NA,NA,NA
the wounds,Movie,"Comedy, Crime, Drama",8,1998,NA,NA,NA,NA
the hitch hikers guide to the galaxy,TV Show,"Adventure, Comedy, Sci-Fi",8,1981,NA,NA,NA,NA
shahrzad,TV Show,"Drama, History, Romance",8,2015,NA,NA,NA,NA
the hour,TV Show,Drama,8,2011,NA,NA,NA,NA
the billion dollar code,TV Show,"Biography, Crime, Drama",8,2021,NA,NA,NA,NA
third watch,TV Show,"Action, Crime, Drama",8,1999,NA,NA,NA,NA
wkrp in cincinnati,TV Show,Comedy,8,1978,NA,NA,NA,NA
jeen-yuhs a kanye trilogy,TV Show,"Documentary, Music",8,2022,NA,NA,NA,12200000
jeen-yuhs a kanye trilogy,TV Show,"Documentary, Music",8,2022,NA,NA,NA,11460000
my grandfathers people,Movie,"Comedy, Drama, Family",8,2011,NA,NA,NA,NA
scott & bailey,TV Show,"Crime, Drama, Mystery",8,2011,NA,NA,NA,NA
the cremator,Movie,"Comedy, Crime, Drama",8,1969,NA,NA,NA,NA
abbas in flower,Movie,"Comedy, Drama, Romance",8,1982,NA,NA,NA,NA
the blue elephant 2,Movie,"Crime, Drama, Horror",8,2019,Movie,2019,"Horror Movies, International Movies, Thrillers",NA
ayyappanum koshiyum,Movie,"Action, Drama, Thriller",8,2020,NA,NA,NA,NA
an autumn afternoon,Movie,Drama,8,1962,NA,NA,NA,NA
paradise lost 3 purgatory,Movie,"Crime, Documentary",8,2011,NA,NA,NA,NA
greed,Movie,"Drama, Thriller, Western",8,1924,NA,NA,NA,NA
por thozhil,Movie,"Action, Crime, Thriller",8,2023,NA,NA,NA,NA
okkadu,Movie,"Action, Drama, Romance",8,2003,NA,NA,NA,NA
kaala paani,TV Show,"Drama, Thriller",8,2023,NA,NA,NA,11100000
kaala paani,TV Show,"Drama, Thriller",8,2023,NA,NA,NA,11700000
the tattooist of auschwitz,TV Show,"Drama, History, Romance",8,2024,NA,NA,NA,NA
pagan peak,TV Show,"Crime, Drama, Mystery",8,2018,NA,NA,NA,NA
minding the gap,Movie,"Documentary, Sport",8,2018,NA,NA,NA,NA
jigarthanda double x,Movie,"Action, Comedy, Drama",8,2023,NA,NA,NA,NA
spawn,TV Show,"Action, Adventure, Animation",8,1997,NA,NA,NA,NA
heels,TV Show,"Drama, Sport",8,2021,NA,NA,NA,NA
rivals,TV Show,Drama,8,2024,NA,NA,NA,NA
why we fight,Movie,"Documentary, History, War",8,2005,NA,NA,NA,NA
maamla legal hai,TV Show,"Comedy, Drama",8,2024,NA,NA,NA,NA
voltron legendary defender,TV Show,"Action, Adventure, Animation",8,2016,TV Show,2018,Kids' TV,NA
explained,TV Show,Documentary,8,2018,TV Show,2021,"Docuseries, Science & Nature TV",NA
requiem for the american dream,Movie,"Biography, Documentary, News",8,2015,NA,NA,NA,NA
avatar,Movie,"Action, Adventure, Fantasy",7.9,2009,NA,NA,NA,NA
titanic,Movie,"Drama, Romance",7.9,1997,NA,NA,NA,5.00E+06
titanic,Movie,"Drama, Romance",7.9,1997,NA,NA,NA,10270000
iron man,Movie,"Action, Adventure, Sci-Fi",7.9,2008,NA,NA,NA,NA
thor ragnarok,Movie,"Action, Adventure, Comedy",7.9,2017,Movie,2017,"Action & Adventure, Comedies, Sci-Fi & Fantasy",NA
knives out,Movie,"Comedy, Crime, Drama",7.9,2019,NA,NA,NA,7470000
knives out,Movie,"Comedy, Crime, Drama",7.9,2019,NA,NA,NA,16760000
arrival,Movie,"Drama, Mystery, Sci-Fi",7.9,2016,NA,NA,NA,NA
x-men days of future past,Movie,"Action, Adventure, Sci-Fi",7.9,2014,NA,NA,NA,NA
edge of tomorrow,Movie,"Action, Adventure, Sci-Fi",7.9,2014,NA,NA,NA,NA
shrek,Movie,"Adventure, Animation, Comedy",7.9,2001,NA,NA,NA,4540000
shrek,Movie,"Adventure, Animation, Comedy",7.9,2001,NA,NA,NA,5310000
shrek,Movie,"Adventure, Animation, Comedy",7.9,2001,NA,NA,NA,5340000
shrek,Movie,"Adventure, Animation, Comedy",7.9,2001,NA,NA,NA,6350000
shrek,Movie,"Adventure, Animation, Comedy",7.9,2001,NA,NA,NA,7870000
shrek,Movie,"Adventure, Animation, Comedy",7.9,2001,NA,NA,NA,10380000
shrek,Movie,"Adventure, Animation, Comedy",7.9,2001,NA,NA,NA,7780000
district 9,Movie,"Action, Sci-Fi, Thriller",7.9,2009,Movie,2009,"Action & Adventure, International Movies, Sci-Fi & Fantasy",NA
harry potter and the prisoner of azkaban,Movie,"Adventure, Family, Fantasy",7.9,2004,NA,NA,NA,NA
