titles,type,genres,average_rating,release_year,weekly_hours_viewed
john wick chapter 2,Movie,"Action, Crime, Thriller",7.4,2017,7800000
blade runner 2049,Movie,"Action, Drama, Mystery",8,2017,7850000
taboo,TV Show,"Drama, Mystery, Thriller",8.3,2017,8310000
it,Movie,Horror,7.3,2017,8350000
money heist,TV Show,"Action, Crime, Drama",8.2,2017,8570000
american made,Movie,"Action, Comedy, Crime",7.1,2017,9300000
s.w.a.t.,TV Show,"Action, Adventure, Crime",7.2,2017,10260000
seal team,TV Show,"Action, Drama, War",7.8,2017,10310000
the good doctor,TV Show,Drama,8.0,2017,10430000
young sheldon,TV Show,Comedy,7.7,2017,11600000
big mouth,TV Show,"Animation, Comedy, Romance",7.8,2017,12500000
dynasty,TV Show,Drama,7.2,2017,12610000
the sinner,TV Show,"Crime, Drama, Mystery",7.8,2017,13240000
spider-man homecoming,Movie,"Action, Adventure, Sci-Fi",7.4,2017,14180000
workin moms,TV Show,"Comedy, Drama",7.8,2017,15110000
atypical,TV Show,"Comedy, Drama",8.2,2017,15920000
ozark,TV Show,"Crime, Drama, Thriller",8.5,2017,16770000
the guilty,Movie,"Crime, Drama, Thriller",7.5,2018,4400000
spider-man into the spider-verse,Movie,"Action, Adventure, Animation",8.4,2018,5910000
mission impossible - fallout,Movie,"Action, Adventure, Thriller",7.7,2018,6360000
disenchantment,TV Show,"Action, Adventure, Animation",7.2,2018,10300000
all american,TV Show,"Drama, Sport",7.6,2018,10830000
lost in space,TV Show,"Adventure, Drama, Family",7.3,2018,11650000
you,TV Show,"Crime, Drama, Romance",7.7,2018,11890000
car masters rust to riches,TV Show,Reality-TV,8.3,2018,12900000
cobra kai,TV Show,"Action, Comedy, Drama",8.4,2018,13530000
new amsterdam,TV Show,Drama,8.0,2018,15410000
on my block,TV Show,"Comedy, Drama",7.8,2018,17360000
narcos mexico,TV Show,"Crime, Drama",8.3,2018,17430000
good girls,TV Show,"Comedy, Crime, Drama",7.7,2018,17490000
titans,TV Show,"Action, Adventure, Crime",7.5,2018,21400000
queer eye,TV Show,Reality-TV,8.5,2018,23060000
jersey,Movie,"Drama, Sport",8.5,2019,2110000
